PDB_ID,peptide_chain_ID,peptide_length,number_of_atoms_in_peptide,protein_chain_ID,number_of_atoms_in_protein,number_of_atom_contacts_between_peptide_and_protein,unknown,noncanonical_peptide,resolution,molecular_type
1x76,C,9,71,A,1776,46,0,0,2.2,prot
1x78,C,9,71,A,1802,46,0,0,2.3,prot
1x7b,C,10,81,A,1802,55,0,0,2.3,prot
1x7e,C,11,95,A,1910,64,0,0,2.8,prot
1x7j,C,10,81,A,1776,51,0,0,2.3,prot
1x7q,C,9,74,A,2245,70,0,0,1.45,prot
1x7r,B,9,81,A,1871,53,0,0,2,prot
1x8s,B,9,72,A,732,63,0,0,2.5,prot
1xb0,G,4,27,A,751,26,0,0,2.2,prot
1xb1,G,5,32,A,739,25,0,0,2.7,prot
1xb7,P,9,74,A,1667,55,0,1,2.5,prot
1xdh,C,6,48,A,2607,47,0,1,1.7,prot
1xdk,C,11,90,A,1700,64,0,0,2.9,prot
1xgy,P,6,42,H,1642,30,0,0,2.71,prot
1xh3,C,14,103,A,2254,77,0,0,1.48,prot
1xhm,C,13,99,A,2607,51,0,0,2.7,prot
1xiu,E,12,100,A,1748,41,0,0,2.5,prot
1xj7,B,9,77,A,2095,50,0,0,2.7,prot
1xkh,I,8,68,A,5474,51,0,1,3.6,prot
1xls,I,16,131,A,1755,70,0,0,2.96,prot
1xm1,H,10,95,A,2301,63,0,1,2.3,prot
1xn2,E,10,97,A,3053,85,0,1,1.9,prot
1xoc,B,9,72,A,4092,72,0,0,1.55,prot
1xow,B,10,79,A,1988,53,0,0,1.8,prot
1xq7,D,11,85,A,1271,47,0,1,2.07,prot
1xqh,B,6,46,A,1954,44,0,1,1.75,prot
1xqy,Q,4,24,A,2327,21,0,0,3.2,prot
1xr8,C,9,72,A,2254,63,0,0,2.3,prot
1xr9,C,9,64,A,2254,64,0,0,1.79,prot
1xrp,Q,4,24,A,2332,19,0,0,2.3,prot
1xv9,E,10,86,A,1824,54,0,0,2.7,prot
1xvp,E,10,86,A,1824,54,0,0,2.6,prot
1xxp,C,6,47,A,2198,42,0,1,3,prot
1xxv,C,5,44,A,2166,41,0,1,2.5,prot
1xy1,A,10,68,B,68,19,0,1,1.04,prot
1y0y,B,4,33,A,2596,29,0,1,1.6,prot
1y19,A,11,93,B,1554,32,1,0,2.6,prot
1y2a,P,10,80,C,3227,76,0,0,2.2,prot
1y3a,E,12,109,A,2413,72,0,0,2.5,prot
1y7l,P,4,33,A,2316,31,0,0,1.55,prot
1y98,B,12,90,A,1696,49,0,1,2.5,prot
1ybo,C,6,53,A,1244,42,0,0,2.3,prot
1yc5,B,13,106,A,1835,56,0,1,1.4,prot
1ycq,B,11,95,A,706,57,0,0,2.3,prot
1ycr,B,13,113,A,705,81,0,0,2.6,prot
1ydp,P,9,81,A,2242,77,0,0,1.9,prot
1yf4,B,10,75,A,1642,65,0,1,1.98,prot
1ygr,C,6,61,A,4709,47,0,1,2.9,prot
1ygu,C,4,37,A,4684,36,0,1,2.9,prot
1yjm,E,8,66,A,800,55,0,1,2.2,prot
1ym2,X,6,47,A,2960,47,0,1,2.05,prot
1ym4,X,5,45,A,2975,45,0,1,2.25,prot
1ymt,B,10,80,A,1878,42,0,0,1.2,prot
1yn6,C,10,84,A,2241,76,0,0,2.2,prot
1yn7,C,10,78,A,2241,77,0,0,2.2,prot
1yok,B,11,93,A,1907,66,0,0,2.5,prot
1yow,B,11,73,A,1783,26,0,0,3,prot
1yp0,B,12,90,A,1885,45,0,0,1.5,prot
1ype,I,10,83,H,2014,61,0,1,1.81,prot
1ypg,I,10,88,H,2015,59,0,1,1.8,prot
1yph,A,10,68,C,980,48,0,0,1.34,prot
1ypj,I,10,83,H,2023,58,0,1,1.78,prot
1ypk,I,10,91,H,2018,54,0,1,1.78,prot
1ypl,I,10,83,H,2022,53,0,1,1.85,prot
1ypm,I,10,87,H,2018,57,0,1,1.85,prot
1yr5,B,19,167,A,1153,128,0,0,1.7,prot
1yrk,B,13,115,A,1002,67,0,1,1.7,prot
1ytg,I,4,23,B,730,23,0,1,2.3,prot
1yth,I,5,37,A,738,35,0,1,2.2,prot
1yti,I,4,38,A,741,34,0,0,2.2,prot
1ytj,I,5,34,A,755,29,0,1,2.5,prot
1yuc,C,14,102,A,1948,67,0,0,1.9,prot
1yvh,B,9,82,A,2483,74,0,1,2.05,prot
1yvl,C,5,51,A,5372,49,0,1,3,prot
1ywh,B,13,116,A,2040,97,0,1,2.7,prot
1ywi,B,6,44,A,243,34,0,0,-1,prot
1ywo,P,10,80,A,456,41,0,0,1.81,prot
1ywt,C,6,50,A,1770,47,0,1,2.4,prot
1yy4,C,9,71,A,1775,48,0,0,2.7,prot
1yy6,B,8,52,A,1134,42,0,0,1.7,prot
1yye,C,10,81,A,1800,52,0,0,2.03,prot
1z3l,S,15,117,E,801,68,0,1,1.8,prot
1z3m,S,15,118,E,801,68,0,1,2,prot
1z3p,S,15,121,E,801,72,0,1,2,prot
1z56,D,8,47,E,42,31,0,0,3.92,prot
1z56,E,7,42,D,47,29,0,0,3.92,prot
1z56,K,13,76,I,173,30,0,0,3.92,prot
1z71,B,11,100,A,2237,65,0,1,1.8,prot
1z7z,4,12,94,3,1493,89,0,0,8,prot
1z7z,5,5,38,1,1723,20,0,0,8,prot
1z8g,L,6,41,A,2788,40,2,1,1.55,prot
1z9o,G,9,76,A,948,54,0,0,1.9,prot
1zaf,C,13,97,A,1801,66,0,0,2.2,prot
1zdt,P,12,102,A,1873,67,0,0,2.1,prot
1zdu,P,11,94,A,1890,69,0,0,2.5,prot
1zea,A,9,70,H,1606,43,0,1,1.78,prot
1zfp,I,7,60,E,807,49,0,1,1.8,prot
1zgi,B,10,94,A,2237,64,0,1,2.2,prot
1zgl,C,14,114,A,1362,68,0,0,2.8,prot
1zgv,B,10,94,A,2237,61,0,1,2.2,prot
1zgy,B,12,96,A,2185,65,0,0,1.8,prot
1zh7,C,11,88,A,1984,53,0,0,2.5,prot
1zhb,C,9,74,A,2244,74,0,0,2.7,prot
1zhk,C,13,101,A,2254,68,0,0,1.6,prot
1zhl,C,13,101,A,2257,68,0,0,1.5,prot
1zkf,C,6,44,A,1266,37,0,1,2.55,prot
1zkk,E,8,72,A,1278,64,0,0,1.45,prot
1zky,C,10,89,A,1913,57,0,0,2.25,prot
1zm6,P,5,40,A,913,27,0,0,2.6,prot
1zms,B,7,54,A,1532,43,0,0,2.8,prot
1zrb,B,10,94,A,2237,63,0,1,1.9,prot
1zsd,C,11,83,A,2254,72,0,0,1.7,prot
1zt1,P,8,62,A,2253,60,0,0,2.5,prot
1zt7,P,9,80,A,2266,72,0,0,3,prot
1ztz,P,4,19,B,749,19,0,1,2.15,prot
1zub,B,6,50,A,833,47,0,0,-1,prot
1zuk,C,11,84,A,535,50,0,0,1.9,prot
1zuz,B,19,169,A,1143,132,0,0,1.91,prot
1zvs,C,8,58,A,2264,52,0,0,2.8,prot
1zy6,A,19,148,B,148,32,0,1,-1,prot
1zys,B,5,30,A,2194,30,0,0,1.7,prot
1zzd,B,6,55,A,5128,44,0,0,2.6,prot
2a0t,B,10,86,A,1200,50,0,1,-1,prot
2a25,B,9,60,A,1159,57,0,0,2.2,prot
2a2x,P,11,106,H,2025,72,0,1,2.44,prot
2a3i,B,12,100,A,2064,56,0,0,1.95,prot
2a4j,B,17,149,A,645,80,0,0,-1,prot
2a6i,P,9,67,B,1653,56,1,0,2.5,prot
2a83,C,9,102,A,2245,85,0,0,1.4,prot
2age,A,5,30,X,1622,30,1,1,1.15,prot
2agg,A,5,28,X,1620,28,1,1,1.28,prot
2agi,A,4,30,X,1624,29,1,1,1.14,prot
2aij,P,5,38,X,2176,38,0,0,1.55,prot
2aik,P,7,46,X,2176,46,0,0,1.73,prot
2ain,B,6,49,A,667,43,0,0,-1,prot
2aiz,U,7,80,P,1006,38,0,1,-1,prot
2ak4,C,13,101,A,2243,67,0,0,2.5,prot
2ak5,D,8,70,B,501,48,0,0,1.85,prot
2aka,L,6,51,B,2329,36,1,0,1.9,prot
2amq,C,6,49,A,2351,49,1,1,2.3,prot
2ank,P,11,106,H,2025,70,0,1,2.46,prot
2aof,C,11,82,B,754,62,0,1,1.32,prot
2aoh,C,10,78,B,754,60,0,1,1.42,prot
2aoi,C,11,82,A,756,63,0,1,1.4,prot
2aoj,C,12,84,B,756,61,0,1,1.6,prot
2ap2,E,2,7,B,949,7,1,0,2.4,prot
2ap2,P,12,74,B,949,24,0,0,2.4,prot
2aph,C,7,53,A,1286,48,0,1,2.1,prot
2aq9,X,12,100,A,1962,26,0,1,1.8,prot
2arq,P,15,92,A,2877,91,0,1,1.85,prot
2arr,P,15,92,A,2861,92,0,1,1.55,prot
2ast,D,10,77,C,599,30,0,1,2.3,prot
2asu,A,4,26,B,1703,23,0,0,1.85,prot
2auc,D,14,115,C,1019,65,0,1,2.6,prot
2av1,C,9,77,A,2243,64,0,1,1.95,prot
2av7,C,9,77,A,2243,66,0,0,2.05,prot
2aw6,E,7,56,B,2360,56,0,0,3,prot
2aww,C,4,25,A,660,25,0,0,2.21,prot
2ax3,B,8,60,A,3622,41,0,0,2.27,prot
2axf,C,10,75,A,2257,67,0,0,1.8,prot
2axg,C,10,75,A,2254,64,0,0,2,prot
2axi,B,10,99,A,765,54,0,1,1.4,prot
2axz,E,7,56,A,2532,56,0,0,3,prot
2azm,C,5,46,A,1486,32,0,1,2.41,prot
2b05,G,6,44,A,1814,42,0,1,2.55,prot
2b0f,B,8,58,A,1404,57,1,1,-1,prot
2b0s,P,16,134,H,1699,63,0,0,2.3,prot
2b1j,C,15,109,A,979,63,0,0,2.4,prot
2b1n,B,5,32,A,1732,32,0,0,2.4,prot
2b1v,C,9,79,A,1896,57,0,0,1.8,prot
2b1z,C,8,71,A,1887,52,0,0,1.78,prot
2b23,C,10,89,A,1837,60,0,0,2.1,prot
2b26,D,7,55,A,1238,38,0,0,3.2,prot
2b2u,D,5,46,A,1429,37,0,1,2.95,prot
2b2v,D,6,49,A,1433,41,0,1,2.65,prot
2b7f,I,10,75,B,883,52,0,1,2.6,prot
2b9h,C,12,101,A,2733,60,0,0,1.55,prot
2b9j,C,11,80,A,2721,53,0,0,2.3,prot
2bb4,P,2,15,A,1802,15,1,0,1.6,prot
2bba,P,14,115,A,1443,79,0,0,1.65,prot
2bbu,B,15,111,A,1205,63,0,1,-1,prot
2bcd,B,5,55,A,2350,49,0,1,2.1,prot
2bck,C,9,72,A,2302,66,0,0,2.8,prot
2bd2,P,1,8,A,1802,8,1,0,1.7,prot
2bd3,P,4,31,A,1802,31,1,0,1.6,prot
2bd4,P,1,8,A,1802,8,0,0,1.7,prot
2bd5,P,1,8,A,1802,8,1,0,1.8,prot
2bd7,P,1,8,A,1802,8,1,0,1.6,prot
2bd8,P,1,8,A,1802,8,1,0,1.7,prot
2bdx,B,7,65,A,2338,50,0,1,2.3,prot
2bdy,B,10,89,A,2236,62,0,1,1.61,prot
2be1,D,8,56,B,2401,25,0,0,2.98,prot
2bgn,W,6,51,A,5963,31,0,0,3.15,prot
2bgr,Y,3,23,A,5972,20,0,0,2,prot
2bi6,L,11,79,H,324,66,0,0,-1,prot
2bil,A,7,61,B,2203,53,0,0,2.55,prot
2bj4,C,11,93,A,1716,77,0,0,2,prot
2bnq,C,9,76,A,2254,57,0,0,1.7,prot
2bnr,C,9,75,A,2254,60,0,0,1.9,prot
2bp5,P,10,77,M,2024,68,0,0,2.8,prot
2bqz,B,10,97,A,1290,67,0,1,1.5,prot
2br8,F,17,114,A,1636,51,0,1,2.4,prot
2br9,P,6,46,A,1811,43,0,1,1.75,prot
2brr,P,10,69,H,1709,44,0,1,1.95,prot
2bsr,C,9,84,A,2252,73,0,0,2.3,prot
2bss,C,10,88,A,2252,66,0,0,2,prot
2bst,C,9,86,A,2252,75,0,0,2.1,prot
2btp,P,6,48,A,1942,45,0,1,2.8,prot
2btx,B,13,115,A,551,57,0,0,-1,prot
2bug,B,6,45,A,1063,29,0,1,-1,prot
2buo,T,12,103,A,647,69,0,0,1.7,prot
2bvo,C,11,89,A,2227,68,0,0,1.65,prot
2bvp,C,9,74,A,2226,72,0,0,1.35,prot
2bvq,C,9,63,A,2227,61,0,0,2,prot
2bvr,I,11,96,H,2014,53,0,1,1.25,prot
2bvs,I,11,99,H,2035,56,0,1,1.4,prot
2bvx,I,11,99,H,2036,60,0,1,3.2,prot
2bxt,I,11,99,H,2036,66,0,1,1.83,prot
2bxu,I,11,99,H,2036,67,0,1,2.8,prot
2byp,F,12,91,A,1679,44,0,1,2.07,prot
2bz8,C,11,94,A,461,55,0,0,2,prot
2bzk,A,7,61,B,2162,52,0,0,2.45,prot
2c1e,C,5,49,B,843,40,1,1,1.77,prot
2c1j,C,8,62,A,1841,52,0,1,2.6,prot
2c1n,C,8,59,A,1807,49,0,1,2,prot
2c23,P,11,74,A,1765,62,0,0,2.65,prot
2c2k,C,5,49,B,843,39,1,1,1.87,prot
2c2l,E,9,74,A,2294,59,0,0,3.3,prot
2c2m,C,5,54,B,843,40,1,1,1.94,prot
2c2o,C,5,55,B,843,43,1,1,2.45,prot
2c2z,C,5,56,B,726,41,1,1,1.95,prot
2c3i,A,8,69,B,2140,58,0,0,1.9,prot
2c5v,F,9,62,B,2083,52,0,1,2.9,prot
2c5w,A,16,128,B,3042,92,0,0,2.55,prot
2c63,P,4,34,A,1838,31,0,1,2.15,prot
2c6w,A,16,119,B,3006,83,0,0,2.61,prot
2c74,P,5,33,A,1819,31,0,1,2.7,prot
2c77,B,15,87,A,3138,85,0,1,1.6,prot
2c7u,C,9,68,A,2246,59,0,0,2.38,prot
2c8w,I,11,95,B,2032,67,0,1,1.96,prot
2c8x,I,11,95,B,2032,65,0,1,2.17,prot
2c8y,I,11,95,B,2032,62,0,1,2.2,prot
2c8z,I,11,95,B,2032,63,0,1,2.14,prot
2c90,I,11,95,B,2032,64,0,1,2.25,prot
2c93,I,11,95,B,2032,62,0,1,2.2,prot
2c9f,S,10,86,A,3519,49,0,0,16.5,prot
2c9t,K,13,91,A,1636,43,0,1,2.25,prot
2cbl,B,9,70,A,2495,64,0,1,2.1,prot
2cch,E,12,102,B,2100,80,0,0,1.7,prot
2cdr,I,5,62,B,843,45,1,1,1.7,prot
2ce8,X,9,70,A,2587,44,0,0,2.03,prot
2ce9,X,5,55,A,2587,51,0,0,2.12,prot
2cf8,I,6,51,H,2020,42,0,1,1.3,prot
2cf9,I,6,51,H,2020,44,0,1,1.79,prot
2cha,A,9,54,B,980,37,1,0,2,prot
2chn,C,12,60,A,5218,35,0,1,1.95,prot
2cho,C,13,65,A,5212,39,1,0,1.85,prot
2ci9,L,9,76,A,828,56,0,1,1.5,prot
2cia,L,10,72,A,799,57,0,1,1.45,prot
2cii,C,4,33,A,2254,32,0,0,2.55,prot
2cik,C,9,73,A,2254,68,0,0,1.75,prot
2cjx,I,5,33,B,768,32,1,1,1.7,prot
2cjy,I,6,43,B,843,41,1,1,1.67,prot
2ck0,P,11,82,H,1610,62,0,0,2.2,prot
2ckb,P,8,76,H,2232,74,0,0,3,prot
2clr,C,10,72,A,2246,59,0,0,2,prot
2clv,C,8,74,A,2258,74,0,0,1.9,prot
2clz,C,8,70,A,2258,70,0,0,1.9,prot
2cn0,I,6,51,H,2020,44,0,1,1.3,prot
2cnk,I,5,55,B,842,45,1,1,1.75,prot
2cnl,I,5,55,B,843,47,1,1,1.67,prot
2cnm,D,7,65,A,1202,44,0,1,2.6,prot
2cnn,I,5,60,B,843,47,1,1,1.7,prot
2cnx,P,5,44,A,2369,40,0,1,2.1,prot
2co0,B,6,42,A,2356,35,0,0,2.25,prot
2co2,B,16,124,A,898,110,0,0,2.3,prot
2cv3,B,11,91,A,1822,69,0,0,1.9,prot
2cvy,B,7,66,A,5128,52,0,0,2.4,prot
2cwg,D,8,63,A,1167,13,0,0,2,prot
2czy,B,15,107,A,624,59,0,0,-1,prot
2d0n,B,9,70,A,469,52,0,0,1.57,prot
2d1x,P,9,66,A,480,45,0,1,1.9,prot
2d31,C,9,81,A,2181,79,0,0,3.2,prot
2d5w,C,5,37,A,4849,37,0,0,1.3,prot
2dew,A,5,38,X,4952,36,0,0,2.1,prot
2dex,A,5,41,X,4937,37,0,0,2.1,prot
2dey,A,6,37,X,4943,32,0,1,2.25,prot
2df6,C,18,145,A,478,92,0,0,1.3,prot
2dko,I,5,33,B,843,32,0,1,1.06,prot
2do2,P,5,33,A,931,30,0,0,2.6,prot
2dp4,I,8,60,E,2029,55,0,0,2.9,prot
2dqk,P,4,33,A,2031,31,0,0,1.93,prot
2drk,B,10,77,A,467,55,0,1,1.42,prot
2drm,E,18,129,A,457,86,0,1,1.35,prot
2ds8,P,6,48,B,316,43,0,0,1.6,prot
2duj,P,5,43,A,2031,39,0,0,1.67,prot
2dvq,P,8,46,A,953,39,0,1,2.04,prot
2dvr,P,8,46,A,953,42,0,1,2.3,prot
2dvs,P,1,12,A,953,11,0,1,2.04,prot
2dwx,P,8,65,A,1020,61,0,0,2.55,prot
2dyf,B,9,62,A,255,32,0,0,-1,prot
2dyh,B,6,46,A,2266,40,0,0,1.9,prot
2dyp,C,9,81,A,2240,77,0,0,2.5,prot
2dze,X,6,55,B,1284,47,0,0,1.8,prot
2e3k,Q,15,96,C,894,62,0,1,2.3,prot
2eax,L,5,34,C,1259,30,0,1,2.1,prot
2egn,B,5,33,A,613,9,1,0,2.4,prot
2eh8,P,10,83,L,1673,53,0,0,2.6,prot
2ejy,B,6,56,A,662,41,0,0,-1,prot
2emt,C,16,131,A,2612,65,0,0,2.8,prot
2eph,H,3,31,D,2678,27,0,0,2.7,prot
2er0,I,8,67,E,2389,64,0,1,3,prot
2er6,I,6,65,E,2389,65,0,1,2,prot
2er7,I,8,79,E,2389,70,0,1,1.6,prot
2er9,I,8,65,E,2389,62,0,1,2.2,prot
2esl,I,11,85,A,1386,52,0,1,1.9,prot
2esv,P,9,70,A,2199,68,0,0,2.6,prot
2etz,B,8,56,A,886,29,0,1,-1,prot
2eu0,B,8,56,A,886,33,0,1,-1,prot
2ez5,P,11,84,W,363,46,0,0,-1,prot
2f4o,I,5,31,A,2409,31,1,1,2.26,prot
2f53,C,9,75,A,2246,59,0,0,2.1,prot
2f54,C,9,75,A,2238,59,0,0,2.7,prot
2f58,P,11,73,H,1747,42,0,1,2.8,prot
2f5b,P,7,60,H,1727,37,0,0,2,prot
2f69,B,9,70,A,1903,60,0,1,1.3,prot
2f6j,P,6,51,A,1386,47,0,1,2,prot
2f74,C,9,73,A,2261,73,0,0,2.7,prot
2f9n,E,4,30,A,1930,29,1,1,1.6,prot
2f9p,E,4,30,A,1930,28,1,1,2.3,prot
2fai,C,10,89,A,1896,58,0,0,2.1,prot
2fci,B,14,118,A,862,98,0,1,-1,prot
2feq,D,11,106,H,2025,65,0,1,2.44,prot
2fes,D,11,106,H,2025,72,0,1,2.42,prot
2ff3,C,3,17,A,1000,6,1,0,2,prot
2ff4,E,8,56,A,2898,51,0,1,1.9,prot
2ffd,G,4,29,C,2391,27,0,0,2.89,prot
2fff,A,15,109,B,3507,68,0,0,2.23,prot
2ffu,P,9,63,A,3959,59,0,0,1.64,prot
2fge,D,6,41,A,7731,40,0,0,2.1,prot
2fgr,B,8,65,A,2462,47,0,0,1.5,prot
2fib,B,4,30,A,2003,27,0,0,2.01,prot
2fiv,I,7,61,J,61,61,49,1,2,prot
2fka,B,10,77,A,981,30,0,0,2,prot
2flk,B,13,103,A,981,32,0,0,2.1,prot
2flu,P,16,128,X,2172,49,0,0,1.5,prot
2flw,B,14,109,A,981,30,0,0,2,prot
2fmf,B,13,103,A,981,31,0,0,2,prot
2fmh,B,11,86,A,981,31,0,0,2,prot
2fmi,B,14,109,A,981,31,0,0,2.3,prot
2fmk,B,16,117,A,981,48,0,1,2,prot
2fns,P,7,46,A,743,37,0,0,1.85,prot
2fnt,P,7,48,A,745,41,0,0,1.44,prot
2fnx,P,4,29,A,943,29,0,0,2.7,prot
2fo4,P,8,64,A,2232,64,0,0,2.7,prot
2fo5,E,4,30,A,1655,30,1,1,2.2,prot
2foj,B,7,48,A,1134,41,0,0,1.6,prot
2foo,B,6,42,A,1134,25,0,0,2.2,prot
2fop,B,6,44,A,1134,39,0,0,2.1,prot
2fp7,C,5,47,B,1115,39,1,1,1.68,prot
2fsa,P,6,50,A,1386,47,0,1,1.9,prot
2fse,E,14,96,B,1534,71,0,0,3.1,prot
2fts,P,13,104,A,3194,68,0,0,2.41,prot
2fuu,B,15,112,A,490,50,0,1,-1,prot
2fvj,B,10,81,A,2068,54,0,0,1.99,prot
2fwo,P,9,78,A,2270,78,0,0,2.6,prot
2fx7,P,16,157,H,1690,58,0,0,1.76,prot
2fx8,P,12,115,H,1681,51,0,1,2.2,prot
2fx9,P,14,138,H,1681,46,0,1,2.1,prot
2fym,B,15,118,C,3161,56,0,0,1.6,prot
2fys,D,11,93,B,2744,64,0,0,2.5,prot
2fyy,C,7,55,A,2254,55,0,0,1.5,prot
2fz3,C,11,87,A,2257,67,0,0,1.9,prot
2g01,F,10,73,A,2858,46,0,0,3.5,prot
2g1t,E,8,66,A,2210,55,0,1,1.8,prot
2g2f,C,8,57,A,2228,45,0,1,2.7,prot
2g2i,C,8,48,A,2203,34,0,0,3.12,prot
2g2l,C,4,25,A,657,25,0,0,2.35,prot
2g30,P,16,121,A,1848,74,0,0,1.6,prot
2g35,B,8,75,A,813,54,0,1,-1,prot
2g3v,E,7,39,A,1349,18,0,1,2.3,prot
2g44,C,9,79,A,1904,49,0,0,2.65,prot
2g58,B,5,40,A,944,40,0,1,0.98,prot
2g5b,I,7,53,B,1654,40,0,0,2.3,prot
2g5l,X,7,61,A,903,47,0,1,1.15,prot
2g5o,C,10,89,A,1912,54,0,0,2.3,prot
2g6q,B,8,67,A,421,47,0,1,2,prot
2g83,C,11,96,A,2450,50,0,0,2.8,prot
2g9a,B,5,43,A,2393,38,0,1,2.7,prot
2g9h,C,13,106,A,1464,81,0,0,2,prot
2gbq,B,12,86,A,466,54,0,1,-1,prot
2gch,E,11,69,F,980,50,1,0,1.9,prot
2gct,A,11,69,B,979,56,1,0,1.8,prot
2gct,D,5,29,C,689,29,1,0,1.8,prot
2gde,D,10,90,H,2014,66,0,1,2,prot
2gfa,C,7,56,A,857,54,0,1,2.1,prot
2ggm,C,17,149,A,1192,79,0,0,2.35,prot
2ghq,C,5,41,A,1464,31,0,1,2.05,prot
2ght,C,5,37,A,1464,32,0,1,1.8,prot
2git,C,9,72,A,2247,60,0,1,1.7,prot
2gj6,C,9,74,A,2247,64,0,0,2.56,prot
2gmt,A,10,68,B,979,49,1,0,1.8,prot
2gmx,F,10,84,A,2868,58,0,0,3.5,prot
2gns,P,5,41,A,944,40,0,0,2.3,prot
2gph,B,16,128,A,2823,76,0,0,1.9,prot
2grl,E,7,56,B,2359,55,0,0,3,prot
2grm,D,7,56,A,2599,56,0,0,3,prot
2gs6,B,5,37,A,2465,30,0,1,2.6,prot
2gt9,C,10,66,A,2247,61,0,0,1.75,prot
2gtk,B,10,81,A,2068,58,0,0,2.1,prot
2gtw,C,9,60,A,2247,56,0,0,1.55,prot
2gtz,C,9,60,A,2247,54,0,0,1.7,prot
2guo,C,9,57,A,2247,49,0,0,1.9,prot
2gv2,B,9,83,A,729,55,0,1,1.8,prot
2h13,B,5,38,A,2328,33,0,1,1.58,prot
2h1c,B,19,134,A,1083,95,0,0,1.8,prot
2h1p,P,11,86,L,1696,38,0,0,2.4,prot
2h1u,P,3,14,A,1798,14,0,0,1.6,prot
2h2d,B,13,110,A,1837,57,0,1,1.7,prot
2h2f,B,7,61,A,1835,48,0,0,2.2,prot
2h2g,B,5,45,A,1857,42,0,1,1.63,prot
2h2h,B,7,58,A,1837,56,0,1,2.2,prot
2h3s,A,9,63,B,217,20,0,0,-1,prot
2h43,I,5,34,B,2421,30,0,1,2.7,prot
2h48,C,5,31,B,715,30,1,1,2.2,prot
2h4b,A,9,63,C,217,11,0,0,-1,prot
2h4f,D,8,69,A,1864,59,0,1,2,prot
2h4h,B,8,69,A,1839,60,0,1,1.99,prot
2h4j,D,11,88,A,1848,49,0,0,2.1,prot
2h4w,C,5,31,B,717,29,1,1,2,prot
2h4y,C,5,31,B,713,30,1,1,1.9,prot
2h51,C,5,31,B,712,29,1,1,2.1,prot
2h54,C,5,31,B,716,29,1,1,1.8,prot
2h59,D,6,55,A,1919,45,0,0,1.9,prot
2h5d,B,5,33,A,1391,31,1,1,0.9,prot
2h5i,C,5,35,B,787,34,1,1,1.69,prot
2h5j,E,5,36,B,793,35,1,1,2,prot
2h5k,C,5,35,A,792,34,0,1,3.25,prot
2h65,E,6,38,B,777,36,1,1,2.3,prot
2h6f,P,4,28,B,3228,16,0,1,1.5,prot
2h6g,P,4,28,B,3221,16,0,1,1.85,prot
2h6h,P,9,58,B,3227,39,0,1,1.8,prot
2h6i,P,4,28,B,3220,15,0,1,3,prot
2h6k,C,9,75,A,2364,59,0,1,1.89,prot
2h6m,I,6,33,A,1634,33,2,1,1.4,prot
2h6n,C,8,66,A,2357,59,0,1,1.5,prot
2h6p,C,9,73,A,2254,68,0,0,1.9,prot
2h6q,C,7,56,A,2357,47,0,1,1.87,prot
2h6t,B,6,48,A,2575,47,0,1,1.9,prot
2h95,A,18,138,D,138,15,0,0,-1,prot
2h96,F,10,84,A,2886,52,0,0,3,prot
2h9e,S,5,47,H,1846,43,0,1,2.2,prot
2h9h,I,6,33,A,1634,33,2,1,1.39,prot
2h9m,B,6,45,A,2344,39,0,0,1.9,prot
2h9n,B,5,38,A,2340,34,0,1,2,prot
2h9p,B,4,28,A,2352,27,0,1,1.91,prot
2hal,I,6,43,A,1634,42,2,1,1.35,prot
2hbh,B,10,92,A,1914,64,0,0,2.65,prot
2hbq,C,5,31,B,718,30,1,1,1.8,prot
2hbr,C,5,31,B,718,30,1,1,2.2,prot
2hby,C,5,31,B,714,30,1,1,2.1,prot
2hbz,C,5,31,B,709,30,1,1,1.9,prot
2hc4,B,10,81,A,1914,57,0,0,2.2,prot
2hcd,B,10,81,A,1914,58,0,0,2.6,prot
2hd4,B,8,61,A,2032,30,0,0,2.15,prot
2hdx,G,9,79,A,837,64,0,1,2.35,prot
2hgt,J,6,46,H,2053,36,0,0,2.2,prot
2hh0,P,9,77,H,1638,49,0,0,2.85,prot
2hi8,P,5,38,X,2176,37,0,0,1.64,prot
2hjk,C,11,90,A,2222,68,0,0,1.85,prot
2hjl,C,11,92,A,2222,70,0,0,1.5,prot
2hkf,P,9,61,H,1593,55,0,0,2.01,prot
2hl3,C,3,31,A,584,31,0,0,2.03,prot
2hlo,G,5,31,C,2343,27,0,1,2.6,prot
2hmh,B,11,89,A,962,83,0,1,2,prot
2hn7,C,10,84,A,2235,74,0,0,1.6,prot
2ho2,B,10,71,A,268,34,0,0,1.33,prot
2hob,B,6,49,A,2371,49,1,1,1.95,prot
2hod,M,5,31,B,2462,27,0,1,2.9,prot
2hpc,M,5,30,B,2462,25,0,1,2.9,prot
2hpe,S,9,45,A,754,35,0,0,2,prot
2hpf,S,8,38,B,754,32,0,0,3,prot
2hpl,B,5,41,A,786,35,0,0,1.8,prot
2hpz,B,11,93,A,2032,49,0,0,1.69,prot
2hrp,P,10,80,H,1706,48,0,0,2.2,prot
2ht9,X,12,85,A,821,20,0,0,1.9,prot
2hu2,B,9,65,A,2560,54,0,0,2.85,prot
2hug,B,14,106,A,462,68,0,0,-1,prot
2hwl,P,14,124,D,2028,78,0,1,2.4,prot
2i04,C,5,44,A,635,41,0,0,2.15,prot
2i0i,D,6,55,A,582,41,0,0,2.8,prot
2i0l,C,6,49,A,609,48,0,0,2.31,prot
2i3h,C,4,34,A,727,32,0,0,1.62,prot
